6,September,9,2019,Monday,10
6,September,9,2019,Monday,10
5,September,9,2019,Monday,11
6,September,9,2019,Monday,11
5,September,9,2019,Monday,12
4,September,9,2019,Monday,12
4,September,9,2019,Monday,12
5,September,9,2019,Monday,12
1,September,9,2019,Monday,15
1,September,9,2019,Monday,15
5,September,9,2019,Monday,15
4,September,9,2019,Monday,15
4,September,9,2019,Monday,15
1,September,10,2019,Tuesday,9
6,September,10,2019,Tuesday,10
1,September,10,2019,Tuesday,11
1,September,10,2019,Tuesday,11
1,September,10,2019,Tuesday,12
4,September,10,2019,Tuesday,12
1,September,10,2019,Tuesday,13
1,September,10,2019,Tuesday,14
2,September,10,2019,Tuesday,15
2,September,10,2019,Tuesday,15
2,September,10,2019,Tuesday,16
1,September,10,2019,Tuesday,17
6,September,11,2019,Wednesday,9
1,September,11,2019,Wednesday,10
6,September,11,2019,Wednesday,11
1,September,11,2019,Wednesday,14
4,September,11,2019,Wednesday,15
1,September,11,2019,Wednesday,16
1,September,12,2019,Thursday,10
1,September,12,2019,Thursday,10
6,September,12,2019,Thursday,11
2,September,12,2019,Thursday,11
1,September,12,2019,Thursday,11
1,September,12,2019,Thursday,11
1,September,12,2019,Thursday,12
2,September,12,2019,Thursday,12
1,September,12,2019,Thursday,13
1,September,12,2019,Thursday,13
4,September,12,2019,Thursday,13
1,September,12,2019,Thursday,13
2,September,12,2019,Thursday,13
4,September,12,2019,Thursday,14
1,September,12,2019,Thursday,14
1,September,12,2019,Thursday,14
1,September,12,2019,Thursday,14
1,September,12,2019,Thursday,14
1,September,12,2019,Thursday,14
1,September,12,2019,Thursday,14
6,September,12,2019,Thursday,15
4,September,12,2019,Thursday,15
1,September,12,2019,Thursday,16
1,September,12,2019,Thursday,16
4,September,13,2019,Friday,10
4,September,13,2019,Friday,11
6,September,13,2019,Friday,11
4,September,13,2019,Friday,12
4,September,13,2019,Friday,12
4,September,13,2019,Friday,15
1,September,14,2019,Saturday,11
1,September,16,2019,Monday,10
6,September,16,2019,Monday,12
6,September,16,2019,Monday,13
1,September,16,2019,Monday,14
1,September,16,2019,Monday,14
6,September,16,2019,Monday,14
1,September,16,2019,Monday,15
6,September,16,2019,Monday,15
1,September,16,2019,Monday,15
1,September,16,2019,Monday,16
1,September,17,2019,Tuesday,11
1,September,17,2019,Tuesday,11
1,September,17,2019,Tuesday,12
1,September,17,2019,Tuesday,12
2,September,17,2019,Tuesday,12
3,September,17,2019,Tuesday,13
1,September,17,2019,Tuesday,13
3,September,17,2019,Tuesday,13
1,September,17,2019,Tuesday,16
6,September,17,2019,Tuesday,17
1,September,18,2019,Wednesday,10
6,September,18,2019,Wednesday,10
6,September,18,2019,Wednesday,12
4,September,18,2019,Wednesday,13
1,September,18,2019,Wednesday,13
1,September,18,2019,Wednesday,13
1,September,18,2019,Wednesday,14
6,September,18,2019,Wednesday,14
1,September,18,2019,Wednesday,14
4,September,18,2019,Wednesday,16
1,September,18,2019,Wednesday,17
1,September,19,2019,Thursday,11
4,September,19,2019,Thursday,12
1,September,19,2019,Thursday,12
1,September,19,2019,Thursday,13
3,September,19,2019,Thursday,13
2,September,19,2019,Thursday,14
4,September,19,2019,Thursday,14
4,September,19,2019,Thursday,14
5,September,19,2019,Thursday,15
4,September,19,2019,Thursday,15
1,September,19,2019,Thursday,15
4,September,20,2019,Friday,10
2,September,20,2019,Friday,11
2,September,20,2019,Friday,11
1,September,20,2019,Friday,12
4,September,20,2019,Friday,12
1,September,20,2019,Friday,13
1,September,20,2019,Friday,13
1,September,20,2019,Friday,14
6,September,20,2019,Friday,15
1,September,21,2019,Saturday,12
1,September,21,2019,Saturday,12
1,September,21,2019,Saturday,12
1,September,23,2019,Monday,10
1,September,23,2019,Monday,10
1,September,23,2019,Monday,13
4,September,23,2019,Monday,13
4,September,23,2019,Monday,13
1,September,23,2019,Monday,13
1,September,23,2019,Monday,14
1,September,23,2019,Monday,15
1,September,23,2019,Monday,15
4,September,23,2019,Monday,16
1,September,23,2019,Monday,16
6,September,24,2019,Tuesday,9
4,September,24,2019,Tuesday,9
1,September,24,2019,Tuesday,11
6,September,24,2019,Tuesday,11
6,September,24,2019,Tuesday,11
1,September,24,2019,Tuesday,11
1,September,24,2019,Tuesday,13
5,September,24,2019,Tuesday,13
1,September,24,2019,Tuesday,14
1,September,24,2019,Tuesday,15
1,September,24,2019,Tuesday,16
2,September,25,2019,Wednesday,10
6,September,25,2019,Wednesday,11
6,September,25,2019,Wednesday,11
6,September,25,2019,Wednesday,14
1,September,25,2019,Wednesday,16
1,September,26,2019,Thursday,10
4,September,26,2019,Thursday,14
1,September,26,2019,Thursday,14
3,September,27,2019,Friday,13
6,September,30,2019,Monday,10
1,September,30,2019,Monday,10
1,September,30,2019,Monday,10
5,September,30,2019,Monday,11
6,September,30,2019,Monday,13
1,September,30,2019,Monday,13
3,October,7,2019,Monday,11
6,October,7,2019,Monday,12
3,October,7,2019,Monday,12
6,October,7,2019,Monday,15
5,October,7,2019,Monday,16
6,October,8,2019,Tuesday,11
1,October,8,2019,Tuesday,12
1,October,8,2019,Tuesday,14
1,October,8,2019,Tuesday,17
1,October,9,2019,Wednesday,14
6,October,9,2019,Wednesday,15
1,October,9,2019,Wednesday,16
1,October,9,2019,Wednesday,16
1,October,9,2019,Wednesday,16
1,October,9,2019,Wednesday,17
1,October,10,2019,Thursday,10
1,October,10,2019,Thursday,11
4,October,10,2019,Thursday,13
1,October,10,2019,Thursday,14
4,October,10,2019,Thursday,14
2,October,10,2019,Thursday,16
4,October,11,2019,Friday,9
3,October,11,2019,Friday,13
4,October,11,2019,Friday,13
1,October,11,2019,Friday,14
6,October,11,2019,Friday,15
1,October,13,2019,Sunday,19
1,October,14,2019,Monday,11
2,October,14,2019,Monday,11
1,October,14,2019,Monday,12
6,October,14,2019,Monday,13
6,October,14,2019,Monday,15
1,October,14,2019,Monday,15
4,October,15,2019,Tuesday,9
1,October,15,2019,Tuesday,10
1,October,15,2019,Tuesday,13
2,October,15,2019,Tuesday,14
1,October,15,2019,Tuesday,14
3,October,16,2019,Wednesday,14
4,October,16,2019,Wednesday,15
1,October,16,2019,Wednesday,15
1,October,17,2019,Thursday,10
4,October,17,2019,Thursday,12
2,October,17,2019,Thursday,13
5,October,17,2019,Thursday,13
1,October,17,2019,Thursday,14
4,October,17,2019,Thursday,14
1,October,17,2019,Thursday,15
6,October,17,2019,Thursday,15
1,October,17,2019,Thursday,15
1,October,17,2019,Thursday,16
1,October,17,2019,Thursday,16
1,October,17,2019,Thursday,16
2,October,17,2019,Thursday,16
4,October,18,2019,Friday,10
6,October,18,2019,Friday,14
1,October,19,2019,Saturday,13
1,October,21,2019,Monday,11
3,October,21,2019,Monday,11
5,October,21,2019,Monday,11
4,October,21,2019,Monday,12
3,October,21,2019,Monday,14
